0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
,,,,,,,,,"Rozkład zajęć - kierunek lekarski, rok V semestr 9",,,,,,,,,,,,,,,,,,,,,,,,,2024/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,Ckl,C,S,W,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,Ckl,C,S,W,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,0,15,30,45,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,1,,1,1,,,,,,,,,,,,,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,CH. WEW. hemato CKL1  USK ,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,2,,1,1,,,,,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,GINEKOLOGIA CKL2 lek E. Stącel KSW2,,,,,,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,PEDIATRIA METABOL CKL2 dr M. Reich KSW2,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,3,,1,1,,,,,"CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2","CHIRURGIA kardio CKL3 prof. K. Widenka, KSW2",,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,4,,1,1,,,,,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,IMMUNOLOGIA CKL4 dr S. Tokarski PCCHP,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,5,,2,1,,,,,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,CH. WEW. NEFRO CKL5 lek. K. Mazur KSW2,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,6,,2,1,,,,,,,,,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,REHABILITACJA CKL6 dr G. Przysada KSW2,,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,GINEKOLOGIA CKL6 prof. D. Borowski PROFAMILIA,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTOREK,2024-10-01 00:00:00,7,,2,1,,,,,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,CH. WEW. PULMO CKL7 lek. T. Kaziród PCCHP,,,,,,,,,,,,,,,,,,,,,,,,"CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418","CH. WEW. W1 nefro 
dr M. Kraśnicka
4.418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
